ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,tripletUnsorted,matchingPair,nonMatchingPair,triplet,simpleSurprise,nonMatchPairSurprise
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,1,1,0,b,1,0,0,aud,B,63,1,1B,0B,1,0,z,0.912142800001675,0,1,0,0,0B,1B,B10,B1,B0,B10,2.77258872223978,1.38629436111989
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,2,1,0,z,0,1,1,aud,A,63,1,1A,0A,0,1,b,1.85668040000019,1,0,0,0,1A,0A,A10,A0,A1,A01,2.83321334405622,1.6094379124341
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,3,3,2,b,1,0,3,aud,D,63,1,3D,2D,1,0,z,1.12403900000027,0,1,0,0,2D,3D,D32,D3,D2,D32,2.89037175789616,1.79175946922805
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,4,1,2,b,1,0,0,aud,B,9,1,1B,2B,1,0,z,2.22112689999994,0,1,0,0,2B,1B,B12,B1,B2,B12,2.94443897916644,1.94591014905531
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,5,2,0,z,0,1,1,aud,A,27,1,2A,0A,0,1,z,1.51490770000055,0,1,1,1,0A,2A,A20,A0,A2,A02,2.99573227355399,2.07944154167984
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,6,3,2,z,0,1,2,aud,C,63,1,3C,2C,0,1,b,1.73350030000256,1,0,0,0,3C,2C,C32,C2,C3,C23,3.04452243772342,2.19722457733622
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,7,3,1,b,1,0,3,aud,D,27,1,3D,1D,1,0,z,3.26812640000207,0,1,0,0,1D,3D,D31,D3,D1,D31,3.09104245335832,2.30258509299405
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,8,0,1,b,1,0,1,aud,A,63,1,0A,1A,1,0,b,1.71383930000229,1,0,1,1,0A,1A,A01,A0,A1,A01,2.4423470353692,1.70474809223843
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,9,0,2,z,0,1,2,aud,C,27,1,0C,2C,0,1,z,1.51240700000017,0,1,1,1,2C,0C,C02,C2,C0,C20,3.17805383034795,2.484906649788
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,10,3,2,b,1,0,3,aud,D,63,1,3D,2D,1,0,z,2.56606100000135,0,1,0,0,2D,3D,D32,D3,D2,D32,2.52572864430826,1.87180217690159
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,11,0,1,z,0,1,0,aud,B,63,1,0B,1B,0,1,b,3.44533150000279,1,0,0,0,0B,1B,B01,B1,B0,B10,2.56494935746154,1.94591014905531
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,12,1,0,z,0,1,1,aud,A,63,1,1A,0A,0,1,z,2.42229980000229,0,1,1,1,0A,1A,A10,A0,A1,A01,2.19722457733622,1.6094379124341
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,13,3,2,b,1,0,3,aud,D,63,1,3D,2D,1,0,b,3.11185060000025,1,0,1,1,3D,2D,D32,D3,D2,D32,2.23359222150709,1.67397643357167
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,14,0,2,z,0,1,2,aud,C,27,1,0C,2C,0,1,z,2.32805870000266,0,1,1,1,2C,0C,C02,C2,C0,C20,2.67414864942653,2.14006616349627
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,15,1,0,z,0,1,1,aud,A,63,1,1A,0A,0,1,b,1.90712069999972,1,0,0,0,1A,0A,A10,A0,A1,A01,2.01490302054226,1.50407739677627
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,16,3,1,z,0,1,0,aud,B,27,1,3B,1B,0,1,z,2.63363010000103,0,1,1,1,1B,3B,B31,B1,B3,B13,3.43398720448515,2.94443897916644
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,17,2,3,b,1,0,2,aud,C,63,1,2C,3C,1,0,b,2.48943080000208,1,0,1,1,2C,3C,C23,C2,C3,C23,2.77258872223978,2.30258509299405
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,18,3,2,b,1,0,3,aud,D,63,0,3D,2D,0,1,z,3.02874170000177,0,1,0,1,2D,3D,D32,D3,D2,D32,2.11021320034659,1.65822807660353
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,19,0,1,z,0,1,0,aud,B,63,1,0B,1B,0,1,b,3.32660940000278,1,0,0,0,0B,1B,B01,B1,B0,B10,2.42774823594805,1.99243016469021
CBC_1075,CBC_1075_MSI_AV_v3_Vset3_Aset3_2024-03-13_15h01.44.828.csv,2,20,0,2,b,1,0,1,aud,A,27,1,0A,2A,1,0,z,2.50955450000038,0,1,0,0,2A,0A,A02,A0,A2,A02,2.86220088092947,2.4423470353692
