trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
,,,,49.70625189999919,None,49.70625189999919,None,z,2.042592699996021,49.89301980000164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
,,,,,,,,,,,,51.95965319999959,None,t,67.16174809999939,51.95965319999959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
0,0,0,0,,,,,,,,,,,,,,,119.14325760000065,None,119.14325760000065,None,119.14325760000065,None,0,0,1,1,0.5,2.0889201672230797,2.50277407648956,120.17653860000064,None,120.17653860000064,None,120.17653860000064,None,122.69288052000084,None,[],125.07477819999986,127.1765947999993,125.07477819999986,None,125.07477819999986,None,z,0.29822539999804576,125.07477819999986,None,None,125.07477819999986,None,z,2.2982253999980458,1,1,1.0,128.21940150000228,None,128.21940150000228,None,128.21940150000228,None,None,128.21940150000228,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,3.62250581484608,3.27666037293199,130.35852499999964,None,130.35852499999964,None,130.35852499999964,None,133.64223612000242,None,[],135.68997110000055,139.3262747000008,135.68997110000055,None,135.68997110000055,None,z,0.17108619999999064,135.68997110000055,None,None,135.68997110000055,None,z,2.1710861999999906,0,0,0.5,140.3647865999992,None,140.3647865999992,None,140.3647865999992,None,None,140.3647865999992,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.3725274662429303,1.31360018091897,142.44464660000085,None,142.44464660000085,None,142.44464660000085,None,143.75866222000005,None,[],145.8075009000022,148.19323520000034,145.8075009000022,None,145.8075009000022,None,b,0.020202099996822653,145.8075009000022,None,None,145.8075009000022,None,b,2.0202020999968227,1,1,0.6666666666666666,149.23041550000198,None,149.23041550000198,None,149.23041550000198,None,None,149.23041550000198,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.5,3.86983191325091,0.977134614530179,151.29217290000088,None,151.29217290000088,None,151.29217290000088,None,152.27661241999922,None,[],154.33276110000224,158.2100387999999,154.33276110000224,None,154.33276110000224,None,z,0.12557239999659942,154.33276110000224,None,None,154.33276110000224,None,z,2.1255723999965994,1,0,0.75,159.21695440000258,None,159.21695440000258,None,159.21695440000258,None,None,159.21695440000258,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,4.33462955345931,2.40738395932908,161.33176950000052,None,161.33176950000052,None,161.33176950000052,None,163.7432672200015,z,['z'],165.79986470000222,170.1433109999998,165.79986470000222,None,165.79986470000222,None,None,,165.79986470000222,None,None,165.79986470000222,None,z,2.0287726999995357,1,0,0.8,171.17990500000087,None,171.17990500000087,None,171.17990500000087,None,None,171.17990500000087,None,2.0287726999995357,[2.0287726999995357],,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,3.04482772403364,1.08604824075189,173.26775289999932,None,173.26775289999932,None,173.26775289999932,None,174.35861261999926,None,[],176.40722119999919,179.4590668000019,176.40722119999919,None,176.40722119999919,None,b,0.2999698999992688,176.40722119999919,None,None,176.40722119999919,None,b,2.299969899999269,1,1,0.8333333333333334,180.50114550000217,None,180.50114550000217,None,180.50114550000217,None,None,180.50114550000217,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.8749846827473111,3.26446861731854,182.58093419999932,None,182.58093419999932,None,182.58093419999932,None,185.8602483200015,b,['b'],187.91954850000184,189.8087845000009,187.91954850000184,None,187.91954850000184,None,None,,187.91954850000184,None,None,187.91954850000184,None,b,1.936430299996573,1,1,0.8571428571428571,190.84600010000213,None,190.84600010000213,None,190.84600010000213,None,None,190.84600010000213,None,1.936430299996573,[1.936430299996573],,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,2.27860294189526,1.14263865585167,192.93214609999995,None,192.93214609999995,None,192.93214609999995,None,194.07680801999996,None,[],196.13158509999994,198.40987840000162,196.13158509999994,None,196.13158509999994,None,z,0.21792659999846364,196.13158509999994,None,None,196.13158509999994,None,z,2.2179265999984636,1,1,0.875,199.44444490000024,None,199.44444490000024,None,199.44444490000024,None,None,199.44444490000024,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,4.26803291533611,0.789129602716002,201.53932279999935,None,201.53932279999935,None,201.53932279999935,None,202.3430574199996,None,[],204.39376520000224,208.67673640000066,204.39376520000224,None,204.39376520000224,None,z,0.22365159999753814,204.39376520000224,None,None,204.39376520000224,None,z,2.223651599997538,1,0,0.8888888888888888,209.71359310000116,None,209.71359310000116,None,209.71359310000116,None,None,209.71359310000116,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,1.887650177272661,2.5736109380813,211.79710569999952,None,211.79710569999952,None,211.79710569999952,None,214.37648221999953,None,[],216.4402289000027,218.34318070000154,216.4402289000027,None,216.4402289000027,None,b,0.11890320000020438,216.4402289000027,None,None,216.4402289000027,None,b,2.1189032000002044,1,1,0.9,219.37948080000206,None,219.37948080000206,None,219.37948080000206,None,None,219.37948080000206,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,2.2089046382315303,1.88377296598415,221.45943830000033,None,221.45943830000033,None,221.45943830000033,None,223.34243821999954,None,[],225.38809350000156,227.61008120000042,225.38809350000156,None,225.38809350000156,None,z,0.04817859999820939,225.38809350000156,None,None,225.38809350000156,None,z,2.0481785999982094,1,0,0.9090909090909091,228.64587890000257,None,228.64587890000257,None,228.64587890000257,None,None,228.64587890000257,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
