trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,59.82896660000006,None,59.82896660000006,None,z,2.6092175999992833,60.01798280000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
,,,,,,,,,,,,62.65112919999956,None,t,49.63313930000004,62.65112919999956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
0,0,0,0,,,,,,,,,,,,,,,112.30153270000028,None,112.30153270000028,None,112.30153270000028,None,0,2,0,1,0.35,1.543156518078604,1.55403782363402,113.3533723999999,None,113.3533723999999,None,113.3533723999999,None,114.91656797999967,b,['b'],2.1659051999995427,[2.1659051999995427],117.24152349999986,None,117.24152349999986,None,117.24152349999986,None,None,117.24152349999986,None,None,117.24152349999986,None,b,2.1659051999995427,0,0,0.0,118.88963319999948,None,118.88963319999948,None,118.88963319999948,None,None,118.88963319999948,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,4.30975216432768,3.27666037293199,120.98524230000021,None,120.98524230000021,None,120.98524230000021,None,124.26787927999958,None,[],,,126.32570729999952,None,126.32570729999952,None,126.32570729999952,None,b,126.32570729999952,None,None,126.32570729999952,None,b,2.2395379999998113,1,1,0.5,130.6657193000001,None,130.6657193000001,None,130.6657193000001,None,None,130.6657193000001,None,0.2395379999998113,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.8749846827473111,1.91520730139263,132.78757679999944,None,132.78757679999944,None,132.78757679999944,None,134.71811687999963,None,[],,,136.77391149999949,None,136.77391149999949,None,136.77391149999949,None,z,136.77391149999949,None,None,136.77391149999949,None,z,2.327053199999682,0,0,0.3333333333333333,138.68785279999975,None,138.68785279999975,None,138.68785279999975,None,None,138.68785279999975,None,0.32705319999968196,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,3.47854712582944,1.08099245958022,140.74444559999938,None,140.74444559999938,None,140.74444559999938,None,141.8345390799994,None,[],,,143.89286379999976,None,143.89286379999976,None,143.89286379999976,None,b,143.89286379999976,None,None,143.89286379999976,None,b,2.1743120000001,1,0,0.5,147.41874800000005,None,147.41874800000005,None,147.41874800000005,None,None,147.41874800000005,None,0.17431200000009994,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0.5,2.24205805775432,1.53162701008885,149.49824799999988,None,149.49824799999988,None,149.49824799999988,None,151.03328047999986,None,[],,,153.08352060000016,None,153.08352060000016,None,153.08352060000016,None,z,153.08352060000016,None,None,153.08352060000016,None,z,2.4196829000002253,0,1,0.4,155.37173410000014,None,155.37173410000014,None,155.37173410000014,None,None,155.37173410000014,None,0.41968290000022535,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,2.0889201672230797,3.27418780206312,157.4597116999994,None,157.4597116999994,None,157.4597116999994,None,160.73500708000012,None,[],,,162.7928922000001,None,162.7928922000001,None,162.7928922000001,None,b,162.7928922000001,None,None,162.7928922000001,None,b,2.1012136999997892,0,0,0.3333333333333333,164.92416309999953,None,164.92416309999953,None,164.92416309999953,None,None,164.92416309999953,None,0.10121369999978924,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,2.67601812978374,1.2479618399002,167.00547339999957,None,167.00547339999957,None,167.00547339999957,None,168.2681022799996,None,[],,,170.32347819999995,None,170.32347819999995,None,170.32347819999995,None,b,170.32347819999995,None,None,170.32347819999995,None,b,2.221255700000256,0,0,0.2857142857142857,173.0317629000001,None,173.0317629000001,None,173.0317629000001,None,None,173.0317629000001,None,0.22125570000025618,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.758742575863891,2.23299083390853,175.1301453999995,None,175.1301453999995,None,175.1301453999995,None,177.36808858000023,None,[],,,179.4298785000001,None,179.4298785000001,None,179.4298785000001,None,b,179.4298785000001,None,None,179.4298785000001,None,b,2.1705563000004986,0,0,0.25,181.23458179999943,None,181.23458179999943,None,181.23458179999943,None,None,181.23458179999943,None,0.1705563000004986,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,4.33462955345931,2.50277407648956,183.3250933999998,None,183.3250933999998,None,183.3250933999998,None,185.8344521799998,None,[],,,187.88966449999953,None,187.88966449999953,None,187.88966449999953,None,b,187.88966449999953,None,None,187.88966449999953,None,b,2.4334682999997312,1,1,0.3333333333333333,192.26997409999967,None,192.26997409999967,None,192.26997409999967,None,None,192.26997409999967,None,0.43346829999973124,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.62250581484608,0.789129602716002,194.3309924999994,None,194.3309924999994,None,194.3309924999994,None,195.13485977999954,None,[],,,197.1858997999998,None,197.1858997999998,None,197.1858997999998,None,z,197.1858997999998,None,None,197.1858997999998,None,z,2.2461028999996415,0,0,0.3,200.85249779999958,None,200.85249779999958,None,200.85249779999958,None,None,200.85249779999958,None,0.24610289999964152,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.671897605000652,2.96222466864387,202.93489279999994,None,202.93489279999994,None,202.93489279999994,None,205.90146577999968,b,['b'],1.9152453999995487,[1.9152453999995487],207.95843629999945,None,207.95843629999945,None,207.95843629999945,None,None,207.95843629999945,None,None,207.95843629999945,None,b,1.9152453999995487,1,1,0.36363636363636365,209.64473110000017,None,209.64473110000017,None,209.64473110000017,None,None,209.64473110000017,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
