ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1051,CBC_1051_MSI_AV_v3_Vset1_Aset1_2024-05-03_16h25.09.705.csv,2,1,1,0,z,0,1,1,aud,A,63,1,1A,0A,0,1,z,2.17660109999997,0,1,1,1,0A,1A,A10,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.179500233968061,0.499947999638573,0.5,0.00392710043300892,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.00785420086601785,0.977935377430676,0.891740236059192,0.0697815775936773,2.31470527890619,0.5,77.7757964845867
CBC_1051,CBC_1051_MSI_AV_v3_Vset1_Aset1_2024-05-03_16h25.09.705.csv,2,2,3,2,b,1,0,3,aud,D,63,1,3D,2D,1,0,z,1.3570765000004,0,1,0,0,2D,3D,D32,2.83321334405622,0.503927100433009,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.344996115406772,0.500181517959875,-0.5,-0.488967688715338,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.00785420086601785,0.977935377430676,0.891740236059192,0.0697815775936773,2.31470527890619,0.5,77.7757964845867
CBC_1051,CBC_1051_MSI_AV_v3_Vset1_Aset1_2024-05-03_16h25.09.705.csv,2,3,2,0,b,1,0,2,aud,C,27,1,2C,0C,1,0,b,3.07710850000149,1,0,1,1,2C,0C,C20,2.89037175789616,0.503927100433009,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0110323112846618,0.5,0.5,0.5,0.5,0.5,0.078308472127004,0.499773377155808,0.5,0.00392710043300892,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.00785420086601785,0.977935377430676,0.891740236059192,0.0697815775936773,2.31470527890619,0.5,77.7757964845867
CBC_1051,CBC_1051_MSI_AV_v3_Vset1_Aset1_2024-05-03_16h25.09.705.csv,2,4,1,0,z,0,1,1,aud,A,63,1,1A,0A,0,1,b,1.21020999999746,1,0,0,0,1A,0A,A10,2.2512917986065,0.503927100433009,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.503927100433009,0.5,0.5,0.5,0.0110323112846618,0.5,0.498044130678754,0.501955869321246,0.5,0.503927100433009,0.313666577127014,0.500003907555351,-0.5,-0.488967688715338,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.00785420086601785,0.977935377430676,0.891740236059192,0.0697815775936773,2.31470527890619,0.5,77.7757964845867
CBC_1051,CBC_1051_MSI_AV_v3_Vset1_Aset1_2024-05-03_16h25.09.705.csv,2,5,3,1,z,0,1,0,aud,B,27,1,3B,1B,0,1,b,2.30048379999789,1,0,0,0,3B,1B,B31,2.99573227355399,0.503927100433009,0.0110323112846618,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.503927100433009,0.5,0.5,0.5,0.0110323112846618,0.5,0.5,0.5,0.5,0.5,0.159891544153075,0.499089466415502,-0.5,-0.488967688715338,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.00785420086601785,0.977935377430676,0.891740236059192,0.0697815775936773,2.31470527890619,0.5,77.7757964845867
CBC_1051,CBC_1051_MSI_AV_v3_Vset1_Aset1_2024-05-03_16h25.09.705.csv,2,6,2,3,b,1,0,2,aud,C,63,1,2C,3C,1,0,z,2.86913639999693,0,1,0,0,3C,2C,C23,3.04452243772342,0.503927100433009,0.0110323112846618,0.5,0.5,0.5,0.5,0.5,0.0110323112846618,0.5,0.5,0.503927100433009,0.5,0.5,0.5,0.0110323112846618,0.5,0.498044130678754,0.501955869321246,0.5,0.503927100433009,0.0947697601656368,0.499396392583841,-0.5,-0.488967688715338,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.00785420086601785,0.977935377430676,0.891740236059192,0.0697815775936773,2.31470527890619,0.5,77.7757964845867
CBC_1051,CBC_1051_MSI_AV_v3_Vset1_Aset1_2024-05-03_16h25.09.705.csv,2,7,2,3,z,0,1,3,aud,D,63,1,2D,3D,0,1,b,2.87228009999671,1,0,0,0,2D,3D,D23,3.09104245335832,0.503927100433009,0.0110323112846618,0.5,0.5,0.5,0.5,0.5,0.0110323112846618,0.5,0.5,0.503927100433009,0.0110323112846618,0.5,0.5,0.0110323112846618,0.5,0.0215882852043703,0.97841171479563,0.0110323112846618,0.5,0.0872485778122195,0.461746131335971,-0.0110323112846618,-0.0107888875000985,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.00785420086601785,0.977935377430676,0.891740236059192,0.0697815775936773,2.31470527890619,0.5,77.7757964845867
CBC_1051,CBC_1051_MSI_AV_v3_Vset1_Aset1_2024-05-03_16h25.09.705.csv,2,8,1,0,b,1,0,0,aud,B,63,1,1B,0B,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN,,,B10,3.13549421592915,0.503927100433009,0.0110323112846618,0.5,0.5,0.5,0.5,0.5,0.0110323112846618,0.5,0.5,0.503927100433009,0.0110323112846618,0.5,0.5,0.000243423784563353,0.5,0,0,0,0,NaN,0,0,0,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.00785420086601785,0.977935377430676,0.891740236059192,0.0697815775936773,2.31470527890619,0.5,77.7757964845867
CBC_1051,CBC_1051_MSI_AV_v3_Vset1_Aset1_2024-05-03_16h25.09.705.csv,2,9,0,2,b,1,0,1,aud,A,27,1,0A,2A,1,0,z,3.09242809999705,0,1,0,0,2A,0A,A02,3.17805383034795,0.503927100433009,0.0110323112846618,0.5,0.5,0.5,0.5,0.5,0.0110323112846618,0.5,0.5,0.503927100433009,0.0110323112846618,0.5,0.5,0.000243423784563353,0.5,0.498044130678754,0.501955869321246,0.5,0.503927100433009,0.0772367740051473,0.499938209590565,-0.5,-0.488967688715338,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.00785420086601785,0.977935377430676,0.891740236059192,0.0697815775936773,2.31470527890619,0.5,77.7757964845867
CBC_1051,CBC_1051_MSI_AV_v3_Vset1_Aset1_2024-05-03_16h25.09.705.csv,2,10,0,3,z,0,1,3,aud,D,9,1,0D,3D,0,1,z,2.73319499999707,0,1,1,1,3D,0D,D03,3.2188758248682,0.503927100433009,0.0110323112846618,0.0110323112846618,0.5,0.5,0.5,0.5,0.0110323112846618,0.5,0.5,0.503927100433009,0.0110323112846618,0.5,0.5,0.000243423784563353,0.5,0.5,0.5,0.5,0.5,0.107531353324319,0.499959404897577,0.5,0.00392710043300892,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.00785420086601785,0.977935377430676,0.891740236059192,0.0697815775936773,2.31470527890619,0.5,77.7757964845867
